date,sp500
2019-12-11,3141.6299
2019-12-12,3168.5701
2019-12-13,3168.8
2019-12-16,3191.45
2019-12-17,3192.52
2019-12-18,3191.1399
2019-12-19,3205.3701
2019-12-20,3221.22
2019-12-23,3224.01
2019-12-24,3223.3799
2019-12-25,
2019-12-26,3239.9099
2019-12-27,3240.02
2019-12-30,3221.29
2019-12-31,3230.78
2020-01-01,
2020-01-02,3257.8501
2020-01-03,3234.8501
2020-01-06,3246.28
2020-01-07,3237.1799
2020-01-08,3253.05
2020-01-09,3274.7
2020-01-10,3265.3501
2020-01-13,3288.1299
2020-01-14,3283.1499
2020-01-15,3289.29
2020-01-16,3316.8101
2020-01-17,3329.6201
2020-01-20,
2020-01-21,3320.79
2020-01-22,3321.75
2020-01-23,3325.54
2020-01-24,3295.47
2020-01-27,3243.6299
2020-01-28,3276.24
2020-01-29,3273.3999
2020-01-30,3283.6599
2020-01-31,3225.52
2020-02-03,3248.9199
2020-02-04,3297.5901
2020-02-05,3334.6899
2020-02-06,3345.78
2020-02-07,3327.71
2020-02-10,3352.0901
2020-02-11,3357.75
2020-02-12,3379.45
2020-02-13,3373.9399
2020-02-14,3380.1599
2020-02-17,
2020-02-18,3370.29
2020-02-19,3386.1499
2020-02-20,3373.23
2020-02-21,3337.75
2020-02-24,3225.8899
2020-02-25,3128.21
2020-02-26,3116.3899
2020-02-27,2978.76
2020-02-28,2954.22
2020-03-02,3090.23
2020-03-03,3003.3701
2020-03-04,3130.1201
2020-03-05,3023.9399
2020-03-06,2972.3701
2020-03-09,2746.5601
2020-03-10,2882.23
2020-03-11,2741.3799
2020-03-12,2480.6399
2020-03-13,2711.02
2020-03-16,2386.1299
2020-03-17,2529.1899
2020-03-18,2398.1001
2020-03-19,2409.3899
2020-03-20,2304.9199
2020-03-23,2237.3999
2020-03-24,2447.3301
2020-03-25,2475.5601
2020-03-26,2630.0701
2020-03-27,2541.47
2020-03-30,2626.6499
2020-03-31,2584.5901
2020-04-01,2470.5
2020-04-02,2526.8999
2020-04-03,2488.6499
2020-04-06,2663.6799
2020-04-07,2659.4099
2020-04-08,2749.98
2020-04-09,2789.8201
2020-04-10,
2020-04-13,2761.6299
2020-04-14,2846.0601
2020-04-15,2783.3601
2020-04-16,2799.55
2020-04-17,2874.5601
2020-04-20,2823.1599
2020-04-21,2736.5601
2020-04-22,2799.3101
2020-04-23,2797.8
2020-04-24,2836.74
2020-04-27,2878.48
2020-04-28,2863.3899
2020-04-29,2939.51
2020-04-30,2912.4299
2020-05-01,2830.71
2020-05-04,2842.74
2020-05-05,2868.4399
2020-05-06,2848.4199
2020-05-07,2881.1899
2020-05-08,2929.8
2020-05-11,2930.3201
2020-05-12,2870.1201
2020-05-13,2820
2020-05-14,2852.5
2020-05-15,2863.7
2020-05-18,2953.9099
2020-05-19,2922.9399
2020-05-20,2971.6101
2020-05-21,2948.51
2020-05-22,2955.45
2020-05-25,
2020-05-26,2991.77
2020-05-27,3036.1299
2020-05-28,3029.73
2020-05-29,3044.3101
2020-06-01,3055.73
2020-06-02,3080.8201
2020-06-03,3122.8701
2020-06-04,3112.3501
2020-06-05,3193.9299
2020-06-08,3232.3899
2020-06-09,3207.1799
2020-06-10,3190.1399
2020-06-11,3002.1001
2020-06-12,3041.3101
2020-06-15,3066.5901
2020-06-16,3124.74
2020-06-17,3113.49
2020-06-18,3115.3401
2020-06-19,3097.74
2020-06-22,3117.8601
2020-06-23,3131.29
2020-06-24,3050.3301
2020-06-25,3083.76
2020-06-26,3009.05
2020-06-29,3053.24
2020-06-30,3100.29
2020-07-01,3115.8601
2020-07-02,3130.01
2020-07-03,
2020-07-06,3179.72
2020-07-07,3145.3201
2020-07-08,3169.9399
2020-07-09,3152.05
2020-07-10,3185.04
2020-07-13,3155.22
2020-07-14,3197.52
2020-07-15,3226.5601
2020-07-16,3215.5701
2020-07-17,3224.73
2020-07-20,3251.8401
2020-07-21,3257.3
2020-07-22,3276.02
2020-07-23,3235.6599
2020-07-24,3215.6299
2020-07-27,3239.4099
2020-07-28,3218.4399
2020-07-29,3258.4399
2020-07-30,3246.22
2020-07-31,3271.1201
2020-08-03,3294.6101
2020-08-04,3306.51
2020-08-05,3327.77
2020-08-06,3349.1599
2020-08-07,3351.28
2020-08-10,3360.47
2020-08-11,3333.6899
2020-08-12,3380.3501
